Año,Cantón,Provincia,Empleo total registrado,Empleo masculino registrado,Empleo femenino registrado,Salario promedio total registrado,Salario mensual promedio masculino registrado,Salario mensual promedio femenino registrado,Ventas locales,Recaudación tributaria,Valor agregado bruto de producción,Población,Número de nuevas compañías,Valor agregado bruto de producción per cápita,variación interanual de la producción per cápita,variación interanual real de la producción per cápita
2019,Pucará,Azuay,208.9166667,155,53.91666667,572.3170369,559.1503525,611.9830322,5978254.85,286392.13,23673310,10413,2,2273.43801,21.3735522,21.10713586
2020,Pucará,Azuay,190.4166667,137.5,52.91666667,613.1162524,619.5288544,596.7861328,4810700.266,190699.15,23145930,10324,4,2241.9537,-1.384876558,-1.0462774
2021,Pucará,Azuay,214.5,163.6666667,50.83333333,608.2828826,602.0700226,627.9726054,6176595.723,265559.29,25329320,10174,1,2489.612738,11.04657238,10.90514162
2022,Pucará,Azuay,247.6666667,180.6666667,67,606.4506073,598.5635173,627.1936188,12130689.31,320537.97,23956170,10034,2,2387.499502,-4.101571103,-7.565392087
2023,Pucará,Azuay,247.25,177.6666667,69.58333333,621.459549,622.1652273,620.5617065,14918824.27,406540.86,28450160,9918,5,2868.538012,20.14821405,17.92804323
2024,Pucará,Azuay,245.4166667,174.5833333,70.83333333,622.4342041,621.8278198,625.1482442,16287403.34,466946.81,,,6,,,
2019,San Fernando,Azuay,127.9166667,84.16666667,43.75,600.9012756,598.6248779,603.660141,3139991.538,186961.268,7432930,4033,3,1843.027523,16.50792319,16.24150685
2020,San Fernando,Azuay,128.1666667,84.08333333,44.08333333,636.1036819,622.6891174,661.7226664,2432453.044,135415.62,8212290,3987,1,2059.766742,11.75995563,12.09855479
2021,San Fernando,Azuay,135.1666667,87.5,47.66666667,642.3015453,619.9685669,683.4272715,2845549.644,190547.99,6846540,3918,3,1747.457887,-15.1623409,-15.30377166
2022,San Fernando,Azuay,140.4166667,90.5,49.91666667,647.6117706,614.7135468,708.2687785,3269132.91,191296.12,7843190,3853,2,2035.606021,16.48956102,13.02574004
2023,San Fernando,Azuay,146.1666667,90.5,55.66666667,635.5261332,602.0537567,690.1569163,3668623.64,294658.17,5848630,3802,4,1538.303524,-24.43019384,-26.65036466
2024,San Fernando,Azuay,127.9166667,79.66666667,48.25,661.6872253,617.9833425,735.3757273,2782741.467,204156.94,,,1,,,
2019,Santa Isabel,Azuay,1936.75,978.4166667,958.3333333,731.1141459,685.4765828,777.7284546,52059739.52,1572908.896,50678210,22692,8,2233.307333,5.415312405,5.148896068
2020,Santa Isabel,Azuay,1934.666667,959.3333333,975.3333333,758.1355555,706.537557,808.8235881,44534763.37,1303003.36,43941900,22383,5,1963.181879,-12.09531039,-11.75671123
2021,Santa Isabel,Azuay,2070.916667,1017.083333,1053.833333,789.2573991,740.9786784,835.9065348,52182612.18,1896926.79,50392060,21953,4,2295.452102,16.92508609,16.78365533
2022,Santa Isabel,Azuay,2302.583333,1154.666667,1147.916667,791.1481171,737.6311951,845.0561117,59851117.45,2301217.82,56821350,21561,11,2635.376374,14.8085979,11.34477692
2023,Santa Isabel,Azuay,2513.333333,1272.166667,1241.166667,822.8899536,755.3071594,892.1531423,60882320.5,2496954.69,50422550,21240,12,2373.943032,-9.920151997,-12.14032282
2024,Santa Isabel,Azuay,2516.166667,1274.583333,1241.583333,830.0627289,767.2449137,894.5885671,60796151.5,2745313.53,,,11,,,
2019,Sígsig,Azuay,1329.75,663.0833333,666.6666667,732.6184082,682.2786204,782.6946564,21353329.75,926812.734,39395230,27218,2,1447.396208,4.332583711,4.066167374
2020,Sígsig,Azuay,1233.833333,619.9166667,613.9166667,739.1509525,685.6945546,793.2896576,15331523.61,638974.27,36182790,27030,2,1338.615982,-7.515580428,-7.17698127
2021,Sígsig,Azuay,1268.75,647.5833333,621.1666667,740.4789237,692.1105499,790.9225616,17298125.83,824097.12,35594930,26686,8,1333.842839,-0.35657301,-0.498003769
2022,Sígsig,Azuay,1336.916667,693.1666667,643.75,757.2609558,709.586558,808.5762329,26595183.57,1188385.8,38010370,26368,8,1441.534056,8.073756094,4.60993511
2023,Sígsig,Azuay,1381.5,708.0833333,673.4166667,792.7490946,731.6515808,857.143692,24707859.94,1305087.38,33074760,26115,18,1266.504308,-12.14190867,-14.36207949
2024,Sígsig,Azuay,1408.25,712.8333333,695.4166667,798.9743703,739.9095459,859.571406,28521942.41,1430282.97,,,17,,,
2019,Oña,Azuay,505.5,239.5833333,265.9166667,758.4996592,721.3085124,791.6389567,3302346.518,194579.11,7447350,3682,0,2022.637154,24.44094152,24.17452518
2020,Oña,Azuay,487.8333333,233.3333333,254.5,764.7712605,735.7290955,791.3906708,3147000.889,120472.4,7422140,3656,0,2030.125821,0.370242722,0.708841879
2021,Oña,Azuay,471.4166667,225.0833333,246.3333333,783.0597296,765.9974772,798.6686351,3653442.017,185527.25,7594470,3608,2,2104.89745,3.683103224,3.541672465
2022,Oña,Azuay,488.25,224.1666667,264.0833333,804.8726552,793.611201,814.354187,3702182.318,214571.64,7722740,3565,0,2166.26648,2.915535365,-0.548285619
2023,Oña,Azuay,513.75,230.1666667,283.5833333,868.7500407,837.2597809,894.3084717,5571892.13,324528.68,6086140,3531,5,1723.6307,-20.43311773,-22.65328855
2024,Oña,Azuay,498.5833333,224.8333333,273.75,881.0303141,852.7634074,904.2731628,5594140.498,501095.58,,,2,,,
2019,Loja ,Loja,41160.66667,21965.33333,19195.33333,736.2292226,725.4181213,748.5929871,1373666714,68326791.69,1133374280,251676,103,4503.30695,4.685481443,4.419065106
2020,Loja ,Loja,38463.83333,20290.16667,18173.66667,737.4727751,721.5967102,755.2112427,1121117454,56163664.88,976666340,252746,156,3864.220759,-14.19148635,-13.85288719
2021,Loja ,Loja,38464.08333,20165,18299.08333,756.9025201,741.1941833,774.2224325,1412316724,67695948.48,1044694960,253496,179,4121.149683,6.648919398,6.507488639
2022,Loja ,Loja,40092.91667,21094.58333,18998.33333,776.2674713,762.0628611,792.0302073,1557368359,82733612.05,1319552870,254463,243,5185.63748,25.82987464,22.36605366
